type,name,data_type,description
Identification,patient_id,integer,Patient identifier
Vital signs,hr,float,Heart rate (beats per minute)
Vital signs,o2sat,float,Pulse oximetry (%)
Vital signs,temp,float,Temperature (deg C)
Vital signs,sbp,float,Systolic blood pressure (mm Hg)
Vital signs,map,float,Mean arterial pressure (mm Hg)
Vital signs,dbp,float,Diastolic blood pressure (mm Hg)
Vital signs,resp,float,Respiration rate (breaths per minute)
Vital signs,etco2,float,End tidal carbon dioxide (mm Hg)
Laboratory values,baseexcess,float,Excess bicarbonate (mmol/L)
Laboratory values,hco3,float,Bicarbonate (mmol/L)
Laboratory values,fio2,float,Fraction of inspired oxygen (%)
Laboratory values,ph,float,pH
Laboratory values,paco2,float,Partial pressure of carbon dioxide from arterial blood (mm Hg)
Laboratory values,sao2,float,Oxygen saturation from arterial blood (%)
Laboratory values,ast,float,Aspartate transaminase (IU/L)
Laboratory values,bun,float,Blood urea nitrogen (mg/dL)
Laboratory values,alkalinephos,float,Alkaline phosphatase (IU/L)
Laboratory values,calcium,float,Calcium (mg/dL)
Laboratory values,chloride,float,Chloride (mmol/L)
Laboratory values,creatinine,float,Creatinine (mg/dL)
Laboratory values,bilirubin_direct,float,Direct bilirubin (mg/dL)
Laboratory values,glucose,float,Serum glucose (mg/dL)
Laboratory values,lactate,float,Lactic acid (mg/dL)
Laboratory values,magnesium,float,Magnesium (mmol/L)
Laboratory values,phosphate,float,Phosphate (mg/dL)
Laboratory values,potassium,float,Potassium (mmol/L)
Laboratory values,bilirubin_total,float,Total bilirubin (mg/dL)
Laboratory values,troponini,float,Troponin I (ng/mL)
Laboratory values,hct,float,Hematocrit (%)
Laboratory values,hgb,float,Hemoglobin (g/dL)
Laboratory values,ptt,float,Partial thromboplastin time (s)
Laboratory values,wbc,float,Leukocyte count (count/L)
Laboratory values,fibrinogen,float,Fibrinogen concentration (mg/dL)
Laboratory values,platelets,float,Platelet count (count/mL)
Demographics,age,float,Age (yr)
Demographics,gender,integer,Female (0) and Male (1)
Demographics,unit1,integer,Administrative identifier for ICU unit (medical ICU); false (0) or true (1)
Demographics,unit2,integer,Administrative identifier for ICU unit (surgical ICU); false (0) or true (1)
Demographics,hospadmtime,float,Time between hospital and ICU admission (hours since ICU admission)
Demographics,iculos,integer,ICU lenght of stay (hours since ICU admission)
Outcome,sepsislabel,integer,"For sepsis patients, SepsisLabel is 1 if t >= tsepsis – 6 and 0 if t <= tsepsis – 6. For non-sepsis patients, SepsisLabel is 0"
